timestamp_utc,arm,generator,concurrency,duration_s,ok,errors,rps,error_rate_pct,p50_ms,p99_ms,max_ms,meets_slo,nginx_version,yarp_version,http_versions,max_cached_connections,method,response_bytes,request_bytes,delay_ms,loss_percent,keepalive,proxy_rss_peak_bytes,proxy_cpu_avg_pct
2026-08-27T15:23:30.3891416Z,twp-reverse-http1-plain-to-h2c,dotnet-httpclient,64,8.004,291266,0,36391.8,0.0000,1.60,4.17,21.96,1,nginx version: nginx/1.31.4,,1.1:291266,,GET,56,0,0,0.00,1,134430720,50.77
2026-08-27T15:23:40.8936704Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,8,8.002,132336,0,16538.4,0.0000,0.41,1.40,69.58,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:132336,,GET,56,0,0,0.00,1,111104000,52.87
2026-08-27T15:23:50.9111335Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,16,8.001,207468,0,25930.7,0.0000,0.57,1.64,8.30,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:207468,,GET,56,0,0,0.00,1,118484992,47.12
2026-08-27T15:24:00.9367799Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,32,8.003,246644,0,30818.5,0.0000,0.97,2.45,8.34,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:246644,,GET,56,0,0,0.00,1,127021056,48.67
2026-08-27T15:24:10.9734338Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,64,8.005,279046,0,34857.9,0.0000,1.74,4.01,15.19,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:279046,,GET,56,0,0,0.00,1,132866048,49.26
2026-08-27T15:24:21.4499691Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,8,8.000,120860,0,15107.1,0.0000,0.46,1.51,23.04,1,nginx version: nginx/1.31.4,,1.1:120860,,GET,56,0,0,0.00,1,86913024,49.77
2026-08-27T15:24:31.4657030Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,16,8.001,162114,0,20261.5,0.0000,0.71,2.17,31.58,1,nginx version: nginx/1.31.4,,1.1:162114,,GET,56,0,0,0.00,1,103358464,50.32
2026-08-27T15:24:41.4898844Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,32,8.003,209688,0,26200.6,0.0000,1.11,3.00,55.91,1,nginx version: nginx/1.31.4,,1.1:209688,,GET,56,0,0,0.00,1,128913408,50.37
2026-08-27T15:24:51.5166832Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,64,8.004,244823,0,30588.9,0.0000,1.90,4.90,91.14,1,nginx version: nginx/1.31.4,,1.1:244823,,GET,56,0,0,0.00,1,156659712,50.39
2026-08-27T15:25:02.1032303Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,8,8.001,112538,0,14065.8,0.0000,0.48,1.62,10.81,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:112538,,GET,56,0,0,0.00,1,116285440,51.35
2026-08-27T15:25:12.1196465Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,16,8.002,172137,0,21512.9,0.0000,0.70,1.71,5.59,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:172137,,GET,56,0,0,0.00,1,120295424,48.66
2026-08-27T15:25:22.1400150Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,32,8.002,207634,0,25949.1,0.0000,1.16,2.62,9.48,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:207634,,GET,56,0,0,0.00,1,125399040,47.84
2026-08-27T15:25:32.1674774Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,64,8.004,238032,0,29740.0,0.0000,2.06,4.28,11.31,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:238032,,GET,56,0,0,0.00,1,136343552,48.47
2026-08-27T15:25:42.4907525Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,8,8.000,82998,0,10374.1,0.0000,0.67,2.39,6.95,1,nginx version: nginx/1.31.4,,1.1:82998,,GET,56,0,0,0.00,1,92901376,53.50
2026-08-27T15:25:52.5021014Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,16,8.001,121644,0,15203.6,0.0000,0.96,2.65,7.89,1,nginx version: nginx/1.31.4,,1.1:121644,,GET,56,0,0,0.00,1,105697280,54.16
2026-08-27T15:26:02.5193387Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,32,8.004,150644,0,18822.2,0.0000,1.55,3.79,8.61,1,nginx version: nginx/1.31.4,,1.1:150644,,GET,56,0,0,0.00,1,118980608,53.74
2026-08-27T15:26:12.5431327Z,twp-reverse-http1-plain-to-http3,dotnet-httpclient,64,8.005,178836,0,22341.6,0.0000,2.65,5.80,20.26,1,nginx version: nginx/1.31.4,,1.1:178836,,GET,56,0,0,0.00,1,139829248,53.51
2026-08-27T15:26:22.9916184Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,8,8.001,72852,0,9105.8,0.0000,0.76,2.61,7.09,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:72852,,GET,56,0,0,0.00,1,117383168,55.88
2026-08-27T15:26:33.0036304Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,16,8.001,113676,0,14207.6,0.0000,1.03,2.65,7.19,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:113676,,GET,56,0,0,0.00,1,126853120,48.31
2026-08-27T15:26:43.0210450Z,yarp-reverse-http1-plain-to-http3,dotnet-httpclient,32,8.002,141705,0,17707.7,0.0000,1.68,3.88,11.21,1,nginx version: nginx/1.31.4,YARP 2.3.0,1.1:141705,,GET,56,0,0,0.00,1,139599872,48.73
