timestamp_utc,arm,generator,concurrency,duration_s,ok,errors,rps,error_rate_pct,p50_ms,p99_ms,max_ms,meets_slo,nginx_version,yarp_version,http_versions,max_cached_connections,method,response_bytes,request_bytes,delay_ms,loss_percent,keepalive,proxy_rss_peak_bytes,proxy_cpu_avg_pct
2026-08-27T15:23:37.2982154Z,twp-reverse-http1-plain-to-h2c,dotnet-httpclient,64,8.004,348696,0,43564.5,0.0000,1.43,2.81,20.47,1,nginx version: nginx/1.31.3,,1.1:348696,,GET,56,0,0,0.00,1,108281856,45.14
2026-08-27T15:23:47.8297482Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,8,8.001,159668,0,19955.6,0.0000,0.35,1.11,14.33,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:159668,,GET,56,0,0,0.00,1,83963904,52.77
2026-08-27T15:23:57.8673972Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,16,8.001,250029,0,31247.9,0.0000,0.49,1.16,4.38,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:250029,,GET,56,0,0,0.00,1,81825792,51.83
2026-08-27T15:24:07.9179790Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,32,8.014,296386,0,36983.9,0.0000,0.83,1.80,9.28,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:296386,,GET,56,0,0,0.00,1,87191552,46.69
2026-08-27T15:24:17.9608357Z,yarp-reverse-http1-plain-to-h2c,dotnet-httpclient,64,8.004,327461,0,40913.4,0.0000,1.51,3.04,10.33,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:327461,,GET,56,0,0,0.00,1,94011392,50.87
2026-08-27T15:24:28.4319614Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,8,8.002,135843,0,16975.7,0.0000,0.41,1.25,39.54,1,nginx version: nginx/1.31.3,,1.1:135843,,GET,56,0,0,0.00,1,76189696,49.71
2026-08-27T15:24:38.4620299Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,16,8.001,192856,0,24103.5,0.0000,0.61,1.67,41.13,1,nginx version: nginx/1.31.3,,1.1:192856,,GET,56,0,0,0.00,1,85188608,50.18
2026-08-27T15:24:48.5179187Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,32,8.014,259805,0,32417.7,0.0000,0.94,2.33,84.36,1,nginx version: nginx/1.31.3,,1.1:259805,,GET,56,0,0,0.00,1,91512832,44.63
2026-08-27T15:24:58.5740975Z,twp-reverse-http1-plain-to-http2,dotnet-httpclient,64,8.018,309025,0,38541.0,0.0000,1.58,3.43,151.53,1,nginx version: nginx/1.31.3,,1.1:309025,,GET,56,0,0,0.00,1,110632960,47.02
2026-08-27T15:25:09.1866054Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,8,8.015,134322,0,16758.6,0.0000,0.40,1.23,5.80,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:134322,,GET,56,0,0,0.00,1,90963968,53.07
2026-08-27T15:25:19.2233991Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,16,8.015,223496,0,27886.2,0.0000,0.54,1.35,3.69,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:223496,,GET,56,0,0,0.00,1,86355968,47.43
2026-08-27T15:25:29.2747698Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,32,8.016,267139,0,33324.1,0.0000,0.92,2.05,11.79,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:267139,,GET,56,0,0,0.00,1,96731136,50.20
2026-08-27T15:25:39.3291894Z,yarp-reverse-http1-plain-to-http2,dotnet-httpclient,64,8.015,296427,0,36984.3,0.0000,1.67,3.14,10.09,1,nginx version: nginx/1.31.3,YARP 2.3.0,1.1:296427,,GET,56,0,0,0.00,1,103849984,51.16
